City 1,City 2,Average Fare,Distance,Average Weekly Passengers,Market Leading Airline,Market Share,Average Fare.1,Low Price Airline,Market Share.1,Price
ACY ,MCO    ,123.98,852,444.23,NK,97.01,124.42,DL   ,2.69,100.8
ACY ,TPA    ,122.38,914,208.36,NK,95.77,122.4,NK   ,95.77,122.4
AUS ,BWI    ,186.26,1340,357.71,WN,48.86,184.06,WN   ,48.86,184.06
AUS ,ORD    ,176.77,972,589.78,AA,66.95,174.92,AA   ,66.95,174.92
AUS ,DFW    ,90.7,183,1266.73,WN,79.11,86.78,WN   ,79.11,86.78
AUS ,DEN    ,150.14,768,453.26,UA,44.74,162.12,F9   ,39.37,132.8
AUS ,ELP    ,117.9,525,347.93,WN,95.87,118.14,AA   ,2.24,110.94
AUS ,IAH    ,87.71,160,595.97,WN,73.17,82.96,WN   ,73.17,82.96
AUS ,LAS    ,138.96,1085,500.1,WN,72.0,136.31,WN   ,72.0,136.31
AUS ,LAX    ,178.55,1238,508.04,AA,55.99,179.84,WN   ,26.25,171.96
AUS ,LBB    ,92.35,335,267.06,WN,96.41,91.85,DL   ,1.75,85.74
AUS ,MSP    ,258.83,1035,207.5,NW,69.35,255.22,NW   ,69.35,255.22
AUS ,BNA    ,132.7,753,242.28,WN,82.81,130.8,NW   ,1.65,111.16
AUS ,MSY    ,134.21,446,194.45,WN,68.47,136.0,CO   ,22.13,128.55
AUS ,LGA    ,271.07,1519,656.95,CO,43.58,293.58,AA   ,35.72,264.17
AUS ,MCO    ,163.37,995,245.54,WN,39.88,151.56,WN   ,39.88,151.56
AUS ,PHX    ,133.04,868,461.41,WN,48.73,133.15,HP   ,39.81,131.63
AUS ,RDU    ,177.41,1161,186.95,WN,46.04,161.59,WN   ,46.04,161.59
AUS ,STL    ,153.38,717,213.04,AA,73.36,151.81,AA   ,73.36,151.81
AUS ,SAN    ,170.03,1161,252.06,WN,50.02,167.75,WN   ,50.02,167.75
AUS ,SJC    ,223.26,1471,483.15,AA,75.86,224.37,WN   ,12.37,210.28
AUS ,SEA    ,177.23,1764,241.08,AA,30.43,179.0,CO   ,15.96,160.6
AUS ,IAD    ,245.59,1313,313.91,AA,38.95,272.39,CO   ,19.8,215.45
BWI ,BHM    ,122.89,682,386.08,WN,80.46,120.61,WN   ,80.46,120.61
BWI ,BOS    ,99.16,370,1162.71,FL,71.51,86.65,FL   ,71.51,86.65
BWI ,BUF    ,68.57,281,671.19,WN,94.94,67.82,WN   ,94.94,67.82
BWI ,CLT    ,237.0,360,198.04,US,93.9,237.95,DL   ,3.34,219.57
BWI ,ORD    ,129.98,621,1870.86,WN,40.54,117.75,WN   ,40.54,117.75
BWI ,CLE    ,83.51,314,945.0,WN,52.04,78.32,WN   ,52.04,78.32
BWI ,CMH    ,80.62,336,483.26,HP,47.09,82.41,WN   ,40.82,77.34
BWI ,DFW    ,216.89,1217,782.06,AA,66.0,226.13,NW   ,1.51,128.45
BWI ,DEN    ,191.68,1491,743.69,UA,64.22,207.43,F9   ,18.44,158.47
BWI ,DTW    ,198.83,408,470.1,NW,72.25,219.61,WN   ,19.32,139.29
BWI ,FLL    ,129.48,925,1037.6,WN,55.67,131.87,FL   ,27.69,122.31
BWI ,RSW    ,139.06,919,252.6,FL,68.2,135.12,US   ,10.62,134.13
BWI ,BDL    ,74.41,283,848.36,WN,95.34,73.59,WN   ,95.34,73.59
BWI ,IAH    ,188.43,1246,857.39,CO,53.32,193.06,WN   ,32.27,186.88
BWI ,IND    ,124.0,515,392.39,WN,75.4,121.94,CO   ,2.6,121.71
BWI ,JAX    ,121.07,663,485.54,WN,67.94,122.97,DL   ,17.57,113.17
BWI ,MCI    ,126.27,966,442.39,WN,59.75,135.6,DL   ,11.99,114.35
BWI ,LAS    ,156.54,2106,1018.26,HP,42.55,154.81,HP   ,42.55,154.81
BWI ,ISP    ,72.03,220,490.32,WN,99.88,71.99,WN   ,99.88,71.99
BWI ,LAX    ,196.95,2329,1134.02,WN,35.3,161.6,WN   ,35.3,161.6
BWI ,SDF    ,86.77,495,565.97,WN,89.16,86.0,NW   ,3.62,71.43
BWI ,MHT    ,74.08,377,1299.56,WN,96.61,73.76,WN   ,96.61,73.76
BWI ,MIA    ,144.45,946,537.5,AA,56.94,143.92,FL   ,26.32,134.67
BWI ,MSP    ,242.02,936,347.82,NW,73.4,261.9,CO   ,1.75,136.87
BWI ,BNA    ,103.89,587,884.78,WN,90.15,102.97,DL   ,3.34,102.25
BWI ,MSY    ,142.22,998,540.54,WN,46.55,153.46,US   ,11.36,131.22
BWI ,ORF    ,71.81,159,194.02,WN,98.09,70.31,WN   ,98.09,70.31
BWI ,OAK    ,173.01,2446,322.5,WN,47.52,174.59,HP   ,12.3,163.57
BWI ,OKC    ,161.38,1180,189.89,AA,29.82,159.19,AA   ,29.82,159.19
BWI ,ONT    ,177.45,2283,231.63,WN,26.65,185.7,AA   ,19.47,159.44
BWI ,MCO    ,123.67,787,1519.89,WN,56.01,125.67,FL   ,27.8,116.58
BWI ,PHX    ,165.32,1998,938.04,HP,39.4,173.72,WN   ,30.75,164.52
BWI ,PDX    ,180.99,2358,309.78,UA,24.14,198.16,NW   ,21.89,155.47
BWI ,PVD    ,73.42,328,1545.32,WN,97.3,72.65,WN   ,97.3,72.65
BWI ,RDU    ,77.15,255,510.54,WN,90.35,74.26,WN   ,90.35,74.26
BWI ,ROC    ,78.49,277,260.21,FL,92.52,77.08,FL   ,92.52,77.08
BWI ,SMF    ,167.57,2395,307.82,UA,31.6,174.59,AA   ,14.12,151.84
BWI ,STL    ,134.54,737,722.06,AA,51.34,135.8,WN   ,42.46,131.17
BWI ,SLC    ,180.52,1864,387.93,WN,36.7,168.52,WN   ,36.7,168.52
BWI ,SAT    ,173.49,1407,432.39,WN,42.15,175.1,AA   ,21.41,166.85
BWI ,SAN    ,181.94,2295,701.3,WN,25.13,173.91,WN   ,25.13,173.91
BWI ,SFO    ,266.31,2457,413.91,UA,70.27,273.4,F9   ,1.54,192.84
BWI ,SJC    ,186.18,2438,265.0,AA,33.38,183.7,NW   ,13.2,141.52
BWI ,SEA    ,176.63,2335,495.32,NW,17.68,167.25,AA   ,13.53,143.85
BWI ,TPA    ,125.09,842,1071.63,WN,55.01,128.39,FL   ,27.15,115.16
BWI ,TUS    ,172.16,1976,214.34,AA,34.33,168.64,CO   ,15.51,142.59
BWI ,PBI    ,137.32,883,386.95,WN,72.52,138.83,DL   ,15.19,129.9
BHM ,ORD    ,132.62,584,336.19,WN,76.13,125.76,WN   ,76.13,125.76
BHM ,DFW    ,170.24,597,249.02,AA,48.31,157.72,AA   ,48.31,157.72
BHM ,IAH    ,135.91,570,318.36,WN,54.83,131.94,WN   ,54.83,131.94
BHM ,LAS    ,156.02,1618,192.39,WN,59.83,153.49,DL   ,29.6,153.04
BHM ,MSY    ,76.7,321,323.36,WN,94.85,75.58,WN   ,94.85,75.58
BHM ,LGA    ,213.08,866,343.91,DL,60.11,209.7,DL   ,60.11,209.7
BHM ,MCO    ,110.2,478,307.17,WN,68.64,103.62,WN   ,68.64,103.62
BHM ,TPA    ,109.96,460,270.54,WN,82.28,106.2,WN   ,82.28,106.2
BOI ,DEN    ,141.26,649,244.02,UA,48.06,157.54,F9   ,37.95,117.63
BOI ,LAS    ,99.44,520,261.84,WN,85.26,99.38,DL   ,11.66,95.41
BOI ,LAX    ,126.18,674,275.32,AS,47.76,132.68,DL   ,15.23,110.66
BOI ,PHX    ,133.52,735,251.95,HP,62.64,130.19,HP   ,62.64,130.19
BOI ,PDX    ,80.47,344,656.95,WN,55.27,69.87,WN   ,55.27,69.87
BOI ,SLC    ,76.18,291,251.3,WN,60.12,71.04,WN   ,60.12,71.04
BOI ,SEA    ,82.23,399,844.45,AS,56.3,90.85,WN   ,43.01,70.71
BOI ,GEG    ,72.5,287,354.67,WN,76.55,68.06,WN   ,76.55,68.06
BOS ,CLT    ,228.64,727,290.54,US,78.48,249.21,NW   ,9.42,123.78
BOS ,ORD    ,179.6,867,2090.76,UA,42.23,189.36,TZ   ,11.41,132.43
BOS ,CVG    ,249.21,752,270.0,DL,87.39,259.41,CO   ,1.81,114.64
BOS ,CLE    ,252.85,563,315.97,CO,86.99,258.55,DL   ,2.99,157.56
BOS ,CMH    ,185.06,640,307.93,HP,57.99,182.51,HP   ,57.99,182.51
BOS ,DFW    ,248.6,1562,1098.04,AA,61.55,276.92,DL   ,23.89,209.37
BOS ,DAY    ,108.11,709,214.67,US,33.41,124.75,NW   ,19.79,86.79
BOS ,DEN    ,213.21,1754,930.1,UA,64.35,240.3,AA   ,11.17,137.82
BOS ,DTW    ,237.89,632,542.28,NW,81.77,250.61,US   ,6.27,143.04
BOS ,FLL    ,144.67,1237,1254.56,DL,67.45,145.46,AA   ,17.31,139.11
BOS ,RSW    ,148.71,1249,723.15,DL,77.93,148.87,US   ,6.35,135.26
BOS ,IAH    ,236.58,1609,667.17,CO,68.01,242.92,CO   ,68.01,242.92
BOS ,JAX    ,141.77,1011,208.04,DL,50.57,141.17,US   ,31.92,137.09
BOS ,MCI    ,167.56,1256,265.43,YX,35.7,175.92,US   ,10.27,149.18
BOS ,LAS    ,170.57,2381,865.65,HP,43.54,181.53,NW   ,10.86,129.21
BOS ,LAX    ,314.01,2611,1259.02,AA,38.28,345.48,AA   ,38.28,345.48
BOS ,MEM    ,191.79,1139,188.69,NW,57.6,196.9,US   ,11.46,137.83
BOS ,MIA    ,154.36,1258,992.5,AA,81.8,153.67,UA   ,1.4,149.55
BOS ,MKE    ,186.23,860,283.04,YX,67.35,194.08,FL   ,1.3,112.2
BOS ,MSP    ,270.65,1124,717.71,NW,69.84,310.86,US   ,6.26,112.42
BOS ,MSY    ,157.76,1367,310.0,DL,41.97,157.54,AA   ,13.42,137.18
BOS ,LGA    ,128.94,200,4662.82,DL,45.94,113.5,DL   ,45.94,113.5
BOS ,MCO    ,131.65,1121,1757.06,DL,66.47,131.18,AA   ,20.89,130.3
BOS ,PHL    ,204.13,280,1115.54,US,76.66,214.1,AA   ,13.42,175.75
BOS ,PHX    ,184.68,2300,594.56,HP,37.02,229.39,DL   ,14.02,147.39
BOS ,PIT    ,206.06,496,514.23,US,93.36,208.55,NW   ,1.2,123.66
BOS ,PDX    ,243.79,2537,242.17,UA,30.25,254.66,DL   ,24.95,227.83
BOS ,RDU    ,172.27,612,504.78,AA,64.57,176.4,AA   ,64.57,176.4
BOS ,STL    ,193.78,1046,414.45,AA,82.34,200.3,UA   ,5.61,132.82
BOS ,SLC    ,254.38,2105,270.86,DL,60.59,284.75,HP   ,16.73,176.35
BOS ,SAN    ,307.42,2588,355.21,AA,46.69,316.03,HP   ,11.84,288.5
BOS ,SFO    ,355.15,2704,1270.0,UA,45.88,410.14,AA   ,23.38,387.94
BOS ,SJC    ,286.14,2689,505.76,AA,61.05,303.57,TZ   ,14.42,172.2
BOS ,SNA    ,291.35,2592,183.04,AA,37.47,289.0,HP   ,10.74,287.38
BOS ,SEA    ,258.68,2496,500.76,AS,27.32,248.67,AS   ,27.32,248.67
BOS ,TPA    ,146.73,1193,877.71,DL,79.95,147.65,FL   ,3.03,135.94
BOS ,IAD    ,163.37,413,2569.56,US,63.04,161.58,US   ,63.04,161.58
BOS ,PBI    ,170.77,1197,593.04,DL,68.85,178.74,US   ,12.37,138.12
BUF ,ORD    ,187.62,473,289.34,AA,49.24,187.99,UA   ,44.32,183.16
BUF ,DFW    ,171.26,1212,186.41,AA,51.25,169.36,US   ,10.72,147.56
BUF ,FLL    ,119.43,1166,309.78,DL,28.66,100.97,DL   ,28.66,100.97
BUF ,LAS    ,146.87,1987,365.32,WN,52.87,144.97,NW   ,7.67,142.14
BUF ,LAX    ,173.89,2217,207.71,AA,25.64,185.94,US   ,17.68,161.48
BUF ,LGA    ,89.1,301,1352.71,B6,76.19,80.15,B6   ,76.19,80.15
BUF ,MCO    ,117.41,1011,563.15,WN,41.9,118.38,DL   ,15.46,107.74
BUF ,PHX    ,155.42,1912,232.17,WN,59.03,153.97,AA   ,7.81,147.2
BUF ,TPA    ,106.53,1054,385.86,US,27.8,97.88,US   ,27.8,97.88
BUR ,DFW    ,222.11,1243,216.08,AA,80.53,215.0,AA   ,80.53,215.0
BUR ,LAS    ,62.88,223,1962.5,WN,97.67,63.19,AQ   ,2.27,49.61
BUR ,OAK    ,78.93,325,2542.28,WN,99.61,78.91,WN   ,99.61,78.91
BUR ,PHX    ,73.73,369,1074.78,WN,70.73,74.68,HP   ,28.6,71.2
BUR ,PDX    ,130.69,817,479.78,AS,73.44,127.18,AS   ,73.44,127.18
BUR ,RNO    ,99.45,374,195.54,WN,79.54,105.29,UA   ,19.17,74.61
BUR ,SMF    ,80.33,358,1565.32,WN,99.22,80.21,WN   ,99.22,80.21
BUR ,SFO    ,128.2,326,551.41,UA,99.84,128.18,UA   ,99.84,128.18
BUR ,SJC    ,80.67,296,1129.23,WN,99.96,80.67,WN   ,99.96,80.67
BUR ,SEA    ,145.58,937,724.02,AS,78.59,147.59,AS   ,78.59,147.59
BTV ,LGA    ,92.89,267,314.67,B6,76.44,79.46,B6   ,76.44,79.46
CHS ,LGA    ,178.94,641,361.19,DL,50.88,180.29,US   ,18.65,155.51
CLT ,ORD    ,137.63,599,854.78,US,33.03,146.37,TZ   ,29.33,93.67
CLT ,DFW    ,239.16,937,446.63,AA,57.65,241.31,AA   ,57.65,241.31
CLT ,DEN    ,206.62,1338,296.3,US,52.53,212.42,DL   ,10.6,141.87
CLT ,DTW    ,232.15,500,266.19,NW,53.4,251.11,US   ,39.4,215.61
CLT ,FLL    ,170.45,632,230.76,US,78.7,172.25,DL   ,17.47,160.74
CLT ,IAH    ,266.44,921,229.56,US,42.23,265.45,US   ,42.23,265.45
CLT ,LAS    ,174.9,1917,272.5,US,53.84,166.02,AA   ,14.12,165.36
CLT ,LAX    ,216.47,2125,453.26,US,51.31,237.25,AA   ,10.93,180.98
CLT ,MIA    ,164.82,651,257.28,US,78.28,169.81,DL   ,10.13,154.95
CLT ,MSP    ,206.31,930,263.15,NW,51.92,220.19,US   ,31.47,204.99
CLT ,LGA    ,247.41,543,1129.78,US,72.7,251.11,US   ,72.7,251.11
CLT ,MCO    ,191.79,468,285.86,US,91.14,191.77,DL   ,8.17,189.45
CLT ,PHL    ,257.32,447,377.82,US,94.33,260.64,DL   ,3.65,166.51
CLT ,PHX    ,210.99,1774,220.76,US,48.0,233.36,TZ   ,10.24,178.79
CLT ,STL    ,199.95,575,214.23,US,50.58,198.47,US   ,50.58,198.47
CLT ,SFO    ,246.26,2296,321.73,US,59.42,270.29,UA   ,10.33,259.12
CLT ,TPA    ,198.95,508,256.52,US,84.4,198.85,US   ,84.4,198.85
CLT ,IAD    ,233.3,330,356.84,US,95.58,234.92,DL   ,1.55,178.92
ORD ,CVG    ,265.86,264,390.65,DL,48.1,255.72,DL   ,48.1,255.72
ORD ,CLE    ,94.32,316,1946.63,WN,37.46,74.16,WN   ,37.46,74.16
ORD ,CMH    ,91.5,296,1426.95,WN,41.33,74.59,WN   ,41.33,74.59
ORD ,DFW    ,190.85,802,2621.63,AA,60.96,200.49,TZ   ,16.44,137.18
ORD ,DAY    ,100.47,240,378.91,UA,53.32,97.11,TZ   ,19.01,94.64
ORD ,DEN    ,154.27,895,2353.15,UA,54.05,170.74,TZ   ,18.49,124.32
ORD ,DSM    ,147.08,306,203.58,UA,66.63,139.2,UA   ,66.63,139.2
ORD ,DTW    ,92.55,235,2262.71,NW,39.95,91.53,WN   ,23.07,81.63
ORD ,ELP    ,192.71,1237,223.36,AA,78.05,192.58,CO   ,3.64,171.0
ORD ,FLL    ,135.72,1182,2240.65,TZ,24.41,109.07,TZ   ,24.41,109.07
ORD ,RSW    ,132.67,1120,1339.13,TZ,46.15,121.96,NK   ,29.05,120.69
ORD ,GSO    ,188.73,590,219.13,UA,66.91,201.5,FL   ,10.61,123.0
ORD ,MDT    ,192.69,594,206.63,UA,61.38,189.46,UA   ,61.38,189.46
ORD ,BDL    ,149.81,783,942.17,UA,38.83,155.39,WN   ,16.11,134.1
ORD ,IAH    ,175.06,945,1660.1,CO,41.51,179.07,AA   ,18.38,168.56
ORD ,IND    ,83.81,177,541.73,UA,40.38,92.49,WN   ,25.8,65.15
ORD ,JAN    ,140.35,677,198.15,WN,66.81,132.35,WN   ,66.81,132.35
ORD ,JAX    ,161.49,865,278.58,DL,42.52,150.43,FL   ,11.47,144.7
ORD ,MCI    ,77.8,405,1912.93,WN,51.06,75.07,WN   ,51.06,75.07
ORD ,LAS    ,132.86,1521,3149.13,UA,23.04,152.91,TZ   ,21.09,118.86
ORD ,LIT    ,135.63,552,251.84,WN,56.58,135.33,AA   ,25.03,131.68
ORD ,ISP    ,124.86,773,300.0,WN,93.87,124.11,WN   ,93.87,124.11
ORD ,LAX    ,167.07,1750,4120.0,UA,39.15,182.31,TZ   ,17.1,129.23
ORD ,SDF    ,79.86,286,703.58,WN,68.05,66.4,WN   ,68.05,66.4
ORD ,MHT    ,151.27,843,533.91,UA,55.78,163.75,WN   ,38.64,128.79
ORD ,MEM    ,190.76,491,315.21,NW,52.89,199.47,AA   ,31.55,187.96
ORD ,MIA    ,178.44,1197,1273.58,AA,41.16,201.39,TZ   ,25.45,126.99
ORD ,MSP    ,161.71,349,2536.19,NW,55.64,152.55,TZ   ,15.15,113.08
ORD ,BNA    ,88.02,409,1046.63,WN,70.91,80.62,WN   ,70.91,80.62
ORD ,MSY    ,163.41,837,777.17,AA,36.79,165.12,WN   ,16.55,162.15
ORD ,LGA    ,175.42,740,7442.06,AA,34.0,190.56,TZ   ,13.43,124.32
ORD ,ORF    ,140.64,717,243.26,WN,34.13,121.15,US   ,13.62,119.18
ORD ,OAK    ,173.78,1844,544.13,WN,54.51,134.86,WN   ,54.51,134.86
ORD ,OKC    ,158.1,693,211.95,AA,69.53,153.5,AA   ,69.53,153.5
ORD ,OMA    ,84.05,423,905.43,WN,58.29,67.74,WN   ,58.29,67.74
ORD ,ONT    ,208.23,1706,189.34,WN,24.28,182.03,WN   ,24.28,182.03
ORD ,MCO    ,127.46,1005,3042.82,TZ,35.28,100.86,TZ   ,35.28,100.86
ORD ,PHL    ,172.15,678,2142.5,UA,34.35,189.05,TZ   ,12.65,129.22
ORD ,PHX    ,132.81,1444,3018.8,UA,25.36,136.78,TZ   ,11.93,124.28
ORD ,PIT    ,171.88,412,766.19,US,49.96,157.19,US   ,49.96,157.19
ORD ,PDX    ,221.5,1751,594.34,UA,59.54,230.31,AA   ,17.37,218.95
ORD ,PVD    ,141.52,849,770.97,UA,35.64,149.77,WN   ,29.21,130.03
ORD ,RDU    ,119.66,647,875.1,AA,57.98,120.5,WN   ,31.2,110.93
ORD ,RNO    ,177.35,1680,191.73,AA,64.28,166.93,AA   ,64.28,166.93
ORD ,RIC    ,205.77,642,274.45,UA,60.03,203.53,UA   ,60.03,203.53
