,st_name,year,c_beer,beer_tax,btax_dollars,population,salestax
59,AK,1995,14752,4.8958077,0.7875,604,0.0
60,AK,1996,13612,4.7553926,0.7875,609,0.0
61,AK,1997,13569,4.6487293,0.7875,613,0.0
62,AK,1998,14315,4.57743,0.7875,620,0.0
63,AK,1999,15334,4.478518,0.7875,625,0.0
64,AK,2000,14373,4.332875,0.7875,628,0.0
65,AK,2001,14513,4.212993,0.7875,633,0.0
66,AK,2002,15008,4.1474214,0.7875,641,0.0
67,AK,2003,14256,12.396732,2.4075,649,0.0
68,AZ,1970,38604,5.494264,0.18,1795,3.0
69,AZ,1971,41837,5.263641,0.18,1896,3.0
70,AZ,1972,47949,5.0999393,0.18,2008,3.0
71,AZ,1973,53380,4.801294,0.18,2124,3.0
72,AZ,1974,58188,4.324086,0.18,2223,3.0
73,AZ,1975,59643,3.9624062,0.18,2285,4.0
74,AZ,1976,62806,3.746528,0.18,2346,4.0
75,AZ,1977,66233,3.5177798,0.18,2425,4.0
76,AZ,1978,71535,3.269593,0.18,2515,4.0
77,AZ,1979,77684,2.9363284,0.18,2636,4.0
78,AZ,1980,79660,2.587105,0.18,2736,4.0
79,AZ,1981,86283,2.3451865,0.18,2810,4.0
80,AZ,1982,86249,2.2090929,0.18,2890,4.0
81,AZ,1983,83067,2.1403358,0.18,2969,4.0
82,AZ,1984,83200,3.0776339,0.27,3067,5.0
83,AZ,1985,92902,3.9624062,0.36,3184,5.0
84,AZ,1986,101449,3.8900995,0.36,3308,5.0
85,AZ,1987,98739,3.753124,0.36,3437,5.0
86,AZ,1988,99190,3.6040142,0.36,3535,5.0
87,AZ,1989,103057,3.438346,0.36,3622,5.0
88,AZ,1990,101755,3.262088,0.36,3684,5.0
89,AZ,1991,104212,3.130359,0.36,3789,5.0
90,AZ,1992,107604,3.03888,0.36,3916,5.0
91,AZ,1993,112268,2.9505527,0.36,4065,5.0
92,AZ,1994,113461,2.8768888,0.36,4245,5.0
93,AZ,1995,114449,2.7976046,0.36,4433,5.0
94,AZ,1996,122594,2.7173672,0.36,4587,5.0
95,AZ,1997,121315,2.656417,0.36,4737,5.0
96,AZ,1998,124001,2.615674,0.36,4883,5.0
97,AZ,1999,130093,2.559153,0.36,5024,5.0
98,AZ,2000,134336,2.4759285,0.36,5166,5.0
99,AZ,2001,136237,2.4074247,0.36,5298,5.6000004
100,AZ,2002,138967,2.369955,0.36,5441,5.6000004
101,AZ,2003,137187,2.3171463,0.36,5581,5.6000004
102,AR,1970,22378,16.632357,0.5449,1930,3.0
103,AR,1971,25020,15.93421,0.5449,1972,3.0
104,AR,1972,25614,15.438649,0.5449,2019,3.0
105,AR,1973,27946,14.534582,0.5449,2059,3.0
106,AR,1974,30915,13.08997,0.5449,2101,3.0
107,AR,1975,31764,11.995083,0.5449,2160,3.0
108,AR,1976,31274,11.341573,0.5449,2170,3.0
109,AR,1977,33899,10.6491,0.5449,2209,3.0
110,AR,1978,36564,9.897784,0.5449,2243,3.0
111,AR,1979,35231,8.888919,0.5449,2271,3.0
112,AR,1980,39804,7.8317413,0.5449,2290,3.0
113,AR,1981,42253,7.0994,0.5449,2293,3.0
114,AR,1982,41077,6.6874146,0.5449,2294,3.0
115,AR,1983,41704,6.479272,0.5449,2306,3.0
116,AR,1984,42064,6.211121,0.5449,2320,3.5
117,AR,1985,42775,5.9975414,0.5449,2327,4.0
118,AR,1986,44257,5.888098,0.5449,2332,4.0
119,AR,1987,45262,5.68077,0.5449,2342,4.0
120,AR,1988,45205,5.4550757,0.5449,2343,4.0
121,AR,1989,45736,5.2043185,0.5449,2346,4.0
122,AR,1990,46863,4.9375324,0.5449,2357,4.0
123,AR,1991,47189,4.738146,0.5449,2383,4.0
124,AR,1992,48080,4.599683,0.5449,2416,4.5
125,AR,1993,47873,4.4659896,0.5449,2456,4.5
126,AR,1994,47057,4.3544903,0.5449,2494,4.5
127,AR,1995,48186,4.234485,0.5449,2535,4.5
128,AR,1996,50321,4.113037,0.5449,2572,4.5
129,AR,1997,49949,4.020782,0.5449,2601,4.5
130,AR,1998,51525,3.9591131,0.5449,2626,4.5
131,AR,1999,51627,3.8735623,0.5449,2652,4.63
132,AR,2000,52053,3.747593,0.5449,2678,4.63
133,AR,2001,51075,3.6439044,0.5449,2692,5.13
134,AR,2002,51773,3.5871902,0.5449,2706,5.13
135,AR,2003,52045,3.5072582,0.5449,2726,5.13
136,CA,1970,363645,2.747132,0.09,20023,5.0
137,CA,1971,380397,2.6318204,0.09,20346,5.0
138,CA,1972,401928,2.5499697,0.09,20585,5.0
139,CA,1973,417463,2.400647,0.09,20869,5.167
140,CA,1974,464237,2.162043,0.09,21174,5.25
141,CA,1975,466420,1.9812031,0.09,21538,6.0
142,CA,1976,496869,1.873264,0.09,21936,6.0
143,CA,1977,503361,1.7588899,0.09,22352,6.0
144,CA,1978,533487,1.6347965,0.09,22836,6.0
145,CA,1979,572605,1.4681642,0.09,23257,6.0
146,CA,1980,595582,1.2935525,0.09,23797,6.0
147,CA,1981,614848,1.1725932,0.09,24286,6.0
148,CA,1982,601987,1.1045464,0.09,24820,6.0
149,CA,1983,612224,1.0701679,0.09,25360,6.0
150,CA,1984,627963,1.025878,0.09,25844,6.0
151,CA,1985,618879,0.99060154,0.09,26441,6.0
152,CA,1986,649059,0.9725249,0.09,27102,6.0
153,CA,1987,662484,0.938281,0.09,27777,6.0
154,CA,1988,662221,0.90100354,0.09,28464,6.0
155,CA,1989,664432,0.8595865,0.09,29218,6.02
156,CA,1990,691050,0.815522,0.09,29960,6.25
157,CA,1991,643785,2.3477693,0.27,30471,6.47
158,CA,1992,685509,3.7986,0.45,30975,7.25
159,CA,1993,633907,3.6881907,0.45,31275,7.25
160,CA,1994,590487,3.5961106,0.45,31484,7.25
161,CA,1995,623100,3.4970055,0.45,31697,7.25
162,CA,1996,609522,3.3967087,0.45,32019,7.25
163,CA,1997,627850,3.3205209,0.45,32486,7.25
164,CA,1998,630458,3.2695925,0.45,32988,7.25
165,CA,1999,638017,3.198941,0.45,33499,7.25
166,CA,2000,637080,3.0949106,0.45,34000,7.25
167,CA,2001,652950,3.0092804,0.45,34533,7.0
168,CA,2002,659475,2.9624436,0.45,35002,7.25
169,CA,2003,663750,2.8964326,0.45,35484,7.25
170,CO,1970,42145,4.120698,0.135,2224,3.0
171,CO,1971,45359,3.9477308,0.135,2304,3.0
172,CO,1972,50444,3.8249545,0.135,2405,3.0
173,CO,1973,55332,3.6009703,0.135,2496,3.0
174,CO,1974,60162,3.2430646,0.135,2541,3.0
175,CO,1975,61966,2.9718046,0.135,2586,3.0
176,CO,1976,64763,3.2782118,0.1575,2632,3.0
177,CO,1977,65203,3.5177798,0.18,2696,3.0
178,CO,1978,77029,3.269593,0.18,2767,3.0
179,CO,1979,81102,2.9363284,0.18,2849,3.0
180,CO,1980,79434,2.587105,0.18,2910,3.0
181,CO,1981,84718,2.3451865,0.18,2978,3.0
182,CO,1982,87579,2.2090929,0.18,3062,3.0
183,CO,1983,86398,2.1403358,0.18,3134,3.0
184,CO,1984,84373,2.051756,0.18,3170,3.5
185,CO,1985,83760,1.9812031,0.18,3209,3.25
186,CO,1986,84790,1.9450498,0.18,3237,3.0
187,CO,1987,83022,1.876562,0.18,3260,3.0
188,CO,1988,82599,1.8020071,0.18,3262,3.0
189,CO,1989,81418,1.719173,0.18,3276,3.0
190,CO,1990,77974,1.631044,0.18,3304,3.0
191,CO,1991,82471,1.5651795,0.18,3368,3.0
192,CO,1992,82075,1.51944,0.18,3460,3.0
193,CO,1993,88832,1.4752764,0.18,3561,3.0
194,CO,1994,89714,1.4384444,0.18,3654,3.0
195,CO,1995,97887,1.3988023,0.18,3738,3.0
196,CO,1996,95046,1.3586836,0.18,3813,3.0
197,CO,1997,93210,1.3282084,0.18,3891,3.0
198,CO,1998,97093,1.307837,0.18,3969,3.0
199,CO,1999,100219,1.2795765,0.18,4056,3.0
200,CO,2000,103734,1.2379643,0.18,4327,3.0
201,CO,2001,111768,1.2037123,0.18,4429,2.8999999
202,CO,2002,108599,1.1849775,0.18,4501,2.8999999
203,CO,2003,108026,1.1585732,0.18,4551,2.8999999
204,CT,1970,49680,5.720139,0.1874,3039,5.0
205,CT,1971,50381,5.480035,0.1874,3061,5.0
206,CT,1972,49282,5.309603,0.1874,3069,5.0
207,CT,1973,53187,4.99868,0.1874,3068,7.0
208,CT,1974,54753,4.501854,0.1874,3074,6.5
209,CT,1975,56234,4.1253047,0.1874,3083,6.0
210,CT,1976,55836,3.9005518,0.1874,3083,7.0
211,CT,1977,57700,3.6623995,0.1874,3086,7.0
212,CT,1978,59887,3.4040093,0.1874,3092,7.0
213,CT,1979,63255,3.057044,0.1874,3096,7.0
214,CT,1980,59251,2.6934636,0.1874,3112,7.0
215,CT,1981,59398,2.4415996,0.1874,3129,7.5
216,CT,1982,59484,2.299911,0.1874,3139,7.5
217,CT,1983,63297,2.4150121,0.2031,3162,7.5
218,CT,1984,63963,2.564695,0.225,3180,7.5
219,CT,1985,66089,2.4765036,0.225,3201,7.5
220,CT,1986,65933,2.431312,0.225,3224,7.5
221,CT,1987,67603,2.3457024,0.225,3247,7.5
222,CT,1988,66885,2.2525086,0.225,3272,7.5
223,CT,1989,64158,3.7611682,0.3938,3283,7.5
224,CT,1990,65000,4.07761,0.45,3292,8.0
225,CT,1991,61628,3.9129484,0.45,3303,8.0
226,CT,1992,60121,3.7986,0.45,3301,6.0
227,CT,1993,57094,3.6881907,0.45,3309,6.0
228,CT,1994,58687,3.5961106,0.45,3316,6.0
229,CT,1995,57739,3.4970055,0.45,3324,6.0
230,CT,1996,56369,3.3967087,0.45,3337,6.0
231,CT,1997,57055,3.3205209,0.45,3349,6.0
232,CT,1998,58076,3.2695925,0.45,3365,6.0
233,CT,1999,57183,3.198941,0.45,3386,6.0
234,CT,2000,57491,3.0949106,0.45,3412,6.0
235,CT,2001,58512,3.0092804,0.45,3433,6.0
236,CT,2002,59385,2.9624436,0.45,3459,6.0
237,CT,2003,58534,2.8964326,0.45,3483,6.0
238,DE,1970,10263,4.4320393,0.1452,550,0.0
239,DE,1971,10948,4.2460036,0.1452,565,0.0
240,DE,1972,11338,4.1139507,0.1452,573,0.0
241,DE,1973,11569,3.8730433,0.1452,578,0.0
242,DE,1974,11892,3.488096,0.1452,581,0.0
243,DE,1975,12125,3.1963408,0.1452,587,0.0
244,DE,1976,12435,3.0221992,0.1452,590,0.0
245,DE,1977,13329,2.8376756,0.1452,592,0.0
246,DE,1978,13588,2.6374717,0.1452,595,0.0
247,DE,1979,14143,2.3686383,0.1452,595,0.0
248,DE,1980,15201,2.0869312,0.1452,595,0.0
249,DE,1981,16061,1.8917836,0.1452,596,0.0
250,DE,1982,16431,1.7820015,0.1452,599,0.0
251,DE,1983,16665,1.7265376,0.1452,605,0.0
252,DE,1984,16607,1.6550831,0.1452,612,0.0
253,DE,1985,16324,1.5981704,0.1452,618,0.0
254,DE,1986,16448,1.5690068,0.1452,628,0.0
255,DE,1987,16691,1.51376,0.1452,637,0.0
256,DE,1988,16961,1.453619,0.1452,648,0.0
257,DE,1989,16769,1.3867995,0.1452,658,0.0
258,DE,1990,17215,1.9400363,0.2141,670,0.0
259,DE,1991,16962,3.0607953,0.352,683,0.0
260,DE,1992,17340,2.9713495,0.352,695,0.0
261,DE,1993,18326,2.8849847,0.352,706,0.0
262,DE,1994,18259,2.8129578,0.352,718,0.0
263,DE,1995,17004,2.7354352,0.352,730,0.0
264,DE,1996,17838,2.6569812,0.352,741,0.0
265,DE,1997,18439,2.5973852,0.352,751,0.0
266,DE,1998,18602,2.5575478,0.352,763,0.0
267,DE,1999,19379,2.5022829,0.352,775,0.0
268,DE,2000,19156,2.4209077,0.352,786,0.0
269,DE,2001,19820,2.3539262,0.352,796,0.0
270,DE,2002,20235,2.3172894,0.352,806,0.0
271,DE,2003,20390,2.265654,0.352,817,0.0
272,DC,1970,17887,4.984518,0.1633,755,6.0
273,DC,1971,17597,4.7752914,0.1633,750,6.0
274,DC,1972,17165,4.6267776,0.1633,742,6.0
275,DC,1973,17662,4.3558397,0.1633,731,6.0
276,DC,1974,17390,3.9229069,0.1633,718,6.0
277,DC,1975,17069,3.5947826,0.1633,707,6.0
278,DC,1976,16492,3.3989332,0.1633,692,6.0
279,DC,1977,16799,3.1914077,0.1633,677,6.0
280,DC,1978,17140,2.966247,0.1633,665,6.0
281,DC,1979,17383,2.6639023,0.1633,650,6.0
282,DC,1980,17663,2.347079,0.1633,638,6.0
283,DC,1981,17608,2.127605,0.1633,637,6.0
284,DC,1982,17341,2.004138,0.1633,634,6.0
285,DC,1983,17937,1.9417601,0.1633,632,6.0
286,DC,1984,18028,1.8613985,0.1633,633,6.0
287,DC,1985,17295,1.7973913,0.1633,635,6.0
288,DC,1986,17444,1.7645923,0.1633,638,6.0
289,DC,1987,16926,1.7024586,0.1633,637,6.0
290,DC,1988,16424,1.6348207,0.1633,630,6.0
291,DC,1989,16238,1.7468706,0.1829,624,6.0
292,DC,1990,16225,1.8349245,0.2025,605,6.0
293,DC,1991,16005,1.7608268,0.2025,601,8.0
294,DC,1992,17896,1.70937,0.2025,598,8.0
295,DC,1993,16721,1.6596859,0.2025,595,8.0
296,DC,1994,16371,1.6182498,0.2025,589,8.0
297,DC,1995,16072,1.5736525,0.2025,581,8.0
298,DC,1996,15013,1.528519,0.2025,572,8.0
299,DC,1997,14703,1.4942344,0.2025,568,8.0
300,DC,1998,14401,1.4713166,0.2025,565,8.0
301,DC,1999,14491,1.4395236,0.2025,570,8.0
302,DC,2000,14428,1.3927097,0.2025,571,8.0
303,DC,2001,14288,1.3541763,0.2025,573,8.0
304,DC,2002,14513,1.3330997,0.2025,569,9.0
305,DC,2003,14580,1.3033947,0.2025,563,9.0
306,FL,1970,125228,29.30274,0.96,6845,4.0
307,FL,1971,143345,28.07275,0.96,7158,4.0
308,FL,1972,159410,27.199675,0.96,7511,4.0
309,FL,1973,179240,25.606897,0.96,7914,4.0
310,FL,1974,194347,23.061792,0.96,8299,4.0
311,FL,1975,200571,21.132832,0.96,8518,4.0
312,FL,1976,199788,19.981482,0.96,8667,4.0
313,FL,1977,202474,21.106678,1.08,8856,4.0
314,FL,1978,220237,21.797287,1.2,9102,4.0
315,FL,1979,236199,19.575523,1.2,9426,4.0
316,FL,1980,252740,17.247366,1.2,9841,4.0
317,FL,1981,288515,15.634576,1.2,10193,4.0
318,FL,1982,296869,14.727285,1.2,10471,4.0
319,FL,1983,306191,15.220165,1.28,10750,5.0
320,FL,1984,297605,16.414047,1.44,11040,5.0
321,FL,1985,309001,15.849625,1.44,11351,5.0
322,FL,1986,322199,15.560398,1.44,11668,5.0
323,FL,1987,332631,15.012496,1.44,11997,5.0
324,FL,1988,339928,14.416057,1.44,12306,5.5
325,FL,1989,349367,13.753384,1.44,12638,6.0
326,FL,1990,365079,13.048352,1.44,13033,6.0
327,FL,1991,347338,12.521436,1.44,13370,6.0
328,FL,1992,360078,12.15552,1.44,13651,6.0
329,FL,1993,362830,11.802211,1.44,13927,6.0
330,FL,1994,362764,11.507555,1.44,14239,6.0
331,FL,1995,354204,11.190418,1.44,14538,6.0
332,FL,1996,368324,10.869469,1.44,14853,6.0
333,FL,1997,369357,10.625668,1.44,15186,6.0
334,FL,1998,366863,10.462696,1.44,15487,6.0
335,FL,1999,383187,10.236612,1.44,15759,6.0
336,FL,2000,388796,9.903714,1.44,16048,6.0
337,FL,2001,396235,9.629699,1.44,16355,6.0
338,FL,2002,403499,9.47982,1.44,16692,6.0
339,FL,2003,410967,9.268585,1.44,17019,6.0
340,GA,1970,58089,69.59401,2.28,4605,3.0
341,GA,1971,64879,66.67278,2.28,4712,3.0
342,GA,1972,69731,64.59923,2.28,4809,3.0
343,GA,1973,73708,60.816383,2.28,4910,3.0
344,GA,1974,79797,54.771755,2.28,4999,3.0
345,GA,1975,79305,50.190475,2.28,5064,3.0
346,GA,1976,82200,47.45602,2.28,5133,3.0
347,GA,1977,91481,44.55854,2.28,5220,3.0
348,GA,1978,98681,41.41484,2.28,5296,3.0
349,GA,1979,102939,37.193493,2.28,5401,3.0
350,GA,1980,100122,32.769997,2.28,5487,3.0
351,GA,1981,106212,29.705692,2.28,5568,3.0
352,GA,1982,109537,27.98184,2.28,5650,3.0
353,GA,1983,113960,27.11092,2.28,5728,3.0
354,GA,1984,120655,25.988907,2.28,5835,3.0
355,GA,1985,122507,25.095238,2.28,5963,3.0
356,GA,1986,129793,24.637297,2.28,6085,3.0
357,GA,1987,132740,23.769785,2.28,6208,3.0
358,GA,1988,134611,22.825422,2.28,6316,3.0
359,GA,1989,132593,21.77619,2.28,6411,3.0
360,GA,1990,139039,20.659891,2.28,6513,4.0
361,GA,1991,135287,19.825605,2.28,6653,4.0
362,GA,1992,146023,19.24624,2.28,6817,4.0
363,GA,1993,150381,18.686834,2.28,6978,4.0
364,GA,1994,147000,18.220293,2.28,7157,4.0
365,GA,1995,154592,17.71816,2.28,7328,4.0
366,GA,1996,161436,17.209991,2.28,7501,4.0
367,GA,1997,161788,16.823973,2.28,7685,4.0
368,GA,1998,167681,16.565935,2.28,7864,4.0
369,GA,1999,174292,16.207968,2.28,8046,4.0
370,GA,2000,177061,15.680881,2.28,8230,4.0
371,GA,2001,175725,15.247022,2.28,8395,4.0
372,GA,2002,181125,15.009715,2.28,8544,4.0
373,GA,2003,181575,14.675259,2.28,8685,4.0
390,HI,1986,29782,17.124895,1.8225,1052,4.0
391,HI,1987,29852,16.521904,1.8225,1068,4.0
392,HI,1988,31198,16.844849,1.935,1080,4.0
393,HI,1989,30138,16.63113,2.0025,1095,4.0
394,HI,1990,32470,15.778578,2.0025,1113,4.0
395,HI,1991,31563,15.14141,2.0025,1137,4.0
396,HI,1992,31743,14.698932,2.0025,1159,4.0
397,HI,1993,30845,14.271695,2.0025,1173,4.0
398,HI,1994,30640,13.915385,2.0025,1188,4.0
399,HI,1995,29734,13.60825,2.0138,1197,4.0
400,HI,1996,29874,13.365639,2.0363,1204,4.0
401,HI,1997,29513,13.065848,2.0363,1212,4.0
402,HI,1998,28745,12.865451,2.0363,1215,4.0
403,HI,1999,28405,12.587447,2.0363,1210,4.0
404,HI,2000,29065,12.178099,2.0363,1212,4.0
405,HI,2001,28715,11.841155,2.0363,1225,4.0
406,HI,2002,28542,11.656858,2.0363,1241,4.0
407,HI,2003,29494,11.397113,2.0363,1258,4.0
408,ID,1970,13635,10.301744,0.3375,717,3.0
409,ID,1971,14883,9.869327,0.3375,739,3.0
410,ID,1972,16465,9.562386,0.3375,763,3.0
411,ID,1973,17435,9.002425,0.3375,782,3.0
412,ID,1974,18252,8.107661,0.3375,808,3.0
413,ID,1975,20065,7.429511,0.3375,832,3.0
414,ID,1976,21180,7.0247397,0.3375,857,3.0
415,ID,1977,21607,6.595837,0.3375,883,3.0
416,ID,1978,22178,6.130487,0.3375,911,3.0
417,ID,1979,23396,5.5056157,0.3375,933,3.0
418,ID,1980,23978,4.850822,0.3375,949,3.0
419,ID,1981,24454,4.3972244,0.3375,962,3.0
420,ID,1982,23390,4.142049,0.3375,974,3.0
421,ID,1983,23572,4.0131297,0.3375,982,3.25
422,ID,1984,23155,3.8470423,0.3375,991,4.25
423,ID,1985,22479,3.7147555,0.3375,994,4.0
424,ID,1986,22526,3.6469684,0.3375,990,4.5
425,ID,1987,21972,3.5185537,0.3375,985,5.0
426,ID,1988,21124,3.3787632,0.3375,986,5.0
427,ID,1989,21195,3.2234492,0.3375,994,5.0
428,ID,1990,23048,3.0582075,0.3375,1012,5.0
429,ID,1991,23112,2.9347115,0.3375,1041,5.0
430,ID,1992,24107,2.8489501,0.3375,1072,5.0
431,ID,1993,23913,2.7661433,0.3375,1109,5.0
432,ID,1994,24289,2.697083,0.3375,1145,5.0
433,ID,1995,23400,2.622754,0.3375,1177,5.0
434,ID,1996,24477,2.5475318,0.3375,1203,5.0
435,ID,1997,24322,2.4903908,0.3375,1229,5.0
436,ID,1998,25096,2.4521945,0.3375,1252,5.0
437,ID,1999,25885,2.399206,0.3375,1276,5.0
438,ID,2000,26257,2.321183,0.3375,1300,5.0
439,ID,2001,26163,2.2569604,0.3375,1321,5.0
440,ID,2002,27140,2.221833,0.3375,1343,5.0
441,ID,2003,27427,2.1723244,0.3375,1366,5.0
442,IL,1970,220190,4.807481,0.1575,11125,4.0
443,IL,1971,224559,4.6056857,0.1575,11202,4.0
444,IL,1972,224590,4.4624467,0.1575,11252,5.0
445,IL,1973,228162,4.201132,0.1575,11251,5.0
446,IL,1974,239982,3.7835753,0.1575,11262,5.0
447,IL,1975,248694,3.4671052,0.1575,11292,5.0
448,IL,1976,252746,3.2782118,0.1575,11343,5.0
449,IL,1977,261436,3.078057,0.1575,11386,5.0
450,IL,1978,269502,2.8608937,0.1575,11413,5.0
451,IL,1979,283778,2.5692873,0.1575,11397,5.0
452,IL,1980,285405,2.2637167,0.1575,11442,5.0
453,IL,1981,288416,2.052038,0.1575,11443,5.0
454,IL,1982,284165,1.9329561,0.1575,11423,5.0
455,IL,1983,287532,1.8727938,0.1575,11409,5.0
456,IL,1984,283548,1.7952864,0.1575,11412,5.0
457,IL,1985,280361,1.7335526,0.1575,11400,6.0
458,IL,1986,285335,1.7019185,0.1575,11387,6.0
459,IL,1987,288792,1.6419917,0.1575,11391,6.0
460,IL,1988,292175,1.5767561,0.1575,11390,6.0
461,IL,1989,286154,1.5042763,0.1575,11410,6.0
462,IL,1990,290352,1.4271635,0.1575,11453,6.0
463,IL,1991,282757,1.369532,0.1575,11569,6.25
464,IL,1992,276758,1.32951,0.1575,11694,6.25
465,IL,1993,275588,1.2908669,0.1575,11810,6.25
466,IL,1994,277377,1.2586387,0.1575,11913,6.25
467,IL,1995,276297,1.2239519,0.1575,12008,6.25
468,IL,1996,271621,1.1888481,0.1575,12102,6.25
469,IL,1997,270769,1.1621823,0.1575,12186,6.25
470,IL,1998,276800,1.1443573,0.1575,12272,6.25
471,IL,1999,281042,1.1196294,0.1575,12359,6.25
472,IL,2000,282189,1.6795049,0.2442,12439,6.25
473,IL,2001,282115,1.6330364,0.2442,12517,6.25
474,IL,2002,284308,1.6076195,0.2442,12586,6.25
475,IL,2003,282370,1.5717975,0.2442,12654,6.25
476,IN,1970,84042,6.010114,0.1969,5204,2.0
477,IN,1971,85908,5.757838,0.1969,5253,2.0
478,IN,1972,86690,5.5787663,0.1969,5302,2.0
479,IN,1973,89019,5.364112,0.2011,5338,2.0
480,IN,1974,89584,5.136053,0.2138,5362,4.0
481,IN,1975,93570,4.7064576,0.2138,5366,4.0
482,IN,1976,98240,4.4500427,0.2138,5389,4.0
483,IN,1977,104618,4.1783404,0.2138,5426,4.0
484,IN,1978,110918,3.8835497,0.2138,5470,4.0
485,IN,1979,115444,3.4877055,0.2138,5501,4.0
486,IN,1980,120107,3.0729058,0.2138,5492,4.0
487,IN,1981,122389,2.9809923,0.2288,5480,4.0
488,IN,1982,123163,3.1761844,0.2588,5468,4.0
489,IN,1983,121986,3.0773273,0.2588,5450,4.0
490,IN,1984,121163,2.949969,0.2588,5458,5.0
491,IN,1985,120742,2.8485296,0.2588,5459,5.0
492,IN,1986,121355,2.7965493,0.2588,5454,5.0
493,IN,1987,121685,2.698079,0.2588,5473,5.0
494,IN,1988,121620,2.5908856,0.2588,5492,5.0
495,IN,1989,120376,2.4717886,0.2588,5524,5.0
496,IN,1990,124264,2.3450787,0.2588,5558,5.0
497,IN,1991,121058,2.2503803,0.2588,5616,5.0
498,IN,1992,117289,2.184617,0.2588,5675,5.0
499,IN,1993,116929,2.1211195,0.2588,5739,5.0
500,IN,1994,118516,2.0681632,0.2588,5794,5.0
501,IN,1995,116805,2.0111666,0.2588,5851,5.0
502,IN,1996,118596,1.953485,0.2588,5906,5.0
503,IN,1997,119194,1.9096684,0.2588,5955,5.0
504,IN,1998,119242,1.880379,0.2588,5999,5.0
505,IN,1999,124425,1.8397466,0.2588,6045,5.0
506,IN,2000,125490,1.7799175,0.2588,6092,5.0
507,IN,2001,124903,1.7306707,0.2588,6126,5.0
508,IN,2002,123836,1.7037343,0.2588,6157,5.0
509,IN,2003,122606,1.6657706,0.2588,6196,6.0
512,IA,1972,53119,8.924893,0.315,2860,3.0
513,IA,1973,56131,8.402264,0.315,2864,3.0
514,IA,1974,60997,7.5671506,0.315,2868,3.0
515,IA,1975,62601,6.9342103,0.315,2881,3.0
516,IA,1976,63996,6.5564237,0.315,2903,3.0
517,IA,1977,67393,6.156114,0.315,2914,3.0
