,st_name,year,c_beer,beer_tax,btax_dollars,population,salestax
0,AL,1970,33098,72.34113,2.37,3450,4.0
1,AL,1971,37598,69.3046,2.37,3497,4.0
2,AL,1972,42719,67.14919,2.37,3539,4.0
3,AL,1973,46203,63.217026,2.37,3580,4.0
4,AL,1974,49769,56.933796,2.37,3627,4.0
5,AL,1975,53236,52.171677,2.37,3679,4.0
6,AL,1976,54992,49.32928,2.37,3735,4.0
7,AL,1977,62317,46.31743,2.37,3780,4.0
8,AL,1978,62725,43.049637,2.37,3832,4.0
9,AL,1979,63999,38.661655,2.37,3866,4.0
10,AL,1980,64209,34.063545,2.37,3903,4.0
11,AL,1981,67605,30.878284,2.37,3919,4.0
12,AL,1982,68171,29.086386,2.37,3925,4.0
13,AL,1983,69597,28.181087,2.37,3934,4.0
14,AL,1984,71379,27.014784,2.37,3952,4.0
15,AL,1985,74669,26.085838,2.37,3973,4.0
16,AL,1986,77448,25.60982,2.37,3992,4.0
17,AL,1987,78730,24.708065,2.37,4015,4.0
18,AL,1988,79665,23.726425,2.37,4024,4.0
19,AL,1989,79990,22.635775,2.37,4030,4.0
20,AL,1990,80899,21.475412,2.37,4050,4.0
21,AL,1991,72921,20.608194,2.37,4099,4.0
22,AL,1992,75192,20.00596,2.37,4154,4.0
23,AL,1993,85380,19.42447,2.37,4214,4.0
24,AL,1994,88358,18.939516,2.37,4260,4.0
25,AL,1995,86991,18.41756,2.37,4297,4.0
26,AL,1996,89534,17.889332,2.37,4331,4.0
27,AL,1997,88807,17.488075,2.37,4368,4.0
28,AL,1998,92082,17.219852,2.37,4405,4.0
29,AL,1999,93828,16.847755,2.37,4430,4.0
30,AL,2000,94530,16.299862,2.37,4452,4.0
31,AL,2001,92893,15.848877,2.37,4466,4.0
32,AL,2002,94732,15.602203,2.37,4479,4.0
33,AL,2003,96188,15.254544,2.37,4501,4.0
34,AK,1970,5372,13.73566,0.5625,304,0.0
35,AK,1971,6336,13.1591015,0.5625,316,0.0
36,AK,1972,6038,12.749847,0.5625,324,0.0
37,AK,1973,6453,12.003234,0.5625,331,0.0
38,AK,1974,7598,10.810215,0.5625,341,0.0
39,AK,1975,8880,9.906014,0.5625,376,0.0
40,AK,1976,9545,9.36632,0.5625,401,0.0
41,AK,1977,7829,8.794449,0.5625,403,0.0
42,AK,1978,9260,8.173983,0.5625,405,0.0
43,AK,1979,9848,7.340821,0.5625,403,0.0
44,AK,1980,10350,6.4677625,0.5625,405,0.0
45,AK,1981,11698,5.8629656,0.5625,418,0.0
46,AK,1982,12671,5.522732,0.5625,450,0.0
47,AK,1983,13906,6.2431216,0.6563,488,0.0
48,AK,1984,14187,7.1811457,0.7875,514,0.0
49,AK,1985,14316,6.934211,0.7875,533,0.0
50,AK,1986,14711,6.8076744,0.7875,544,0.0
51,AK,1987,14041,6.567967,0.7875,539,0.0
52,AK,1988,13709,6.307025,0.7875,542,0.0
53,AK,1989,13624,6.017105,0.7875,547,0.0
54,AK,1990,14607,5.708654,0.7875,553,0.0
55,AK,1991,14408,5.478128,0.7875,570,0.0
56,AK,1992,14906,5.3180404,0.7875,589,0.0
57,AK,1993,13014,5.1634674,0.7875,599,0.0
58,AK,1994,15419,5.034555,0.7875,603,0.0
