Academic Year,College/School,Division,Department,Major,Degree,Average GPA,Headcount
2019-20,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Bachelor of Science,3.37,112
2019-20,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemical Biology,Bachelor of Science,3.49,51
2019-20,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,Bachelor of Science,3.28,72
2019-20,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,Bachelor of Science,3.52,86
2019-20,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Bachelor of Science,3.33,81
2019-20,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Bachelor of Science,3.46,452
2019-20,Clg of Engineering,Clg of Engineering,Engineering Science,Energy Engineering,Bachelor of Science,3.50,10
2019-20,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics,Bachelor of Science,3.37,7
2019-20,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,Bachelor of Science,3.10,11
2019-20,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Bachelor of Science,3.44,42
2019-20,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Bachelor of Science,3.40,36
2019-20,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Bachelor of Science,3.39,177
2019-20,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Bachelor of Science,3.24,12
2019-20,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Bachelor of Arts,3.33,97
2019-20,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Bachelor of Arts,3.35,34
2019-20,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Bachelor of Arts,3.56,22
2019-20,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,Bachelor of Arts,3.58,23
