Percentile,Year,Europe,World,Russia,China,USA,India,Brazil
p99p100,2009,0.098999999,0.2077,0.21179999,0.1541,0.18539999,0.20829999,0.2744
p99p100,2010,0.097499996,0.2079,0.20029999,0.1512,0.198,0.2122,0.28189999
p99p100,2011,0.1001,0.20900001,0.2148,0.1459,0.19599999,0.2114,0.29609999
p99p100,2012,0.098700002,0.2066,0.19840001,0.1375,0.2078,0.213,0.2773
p99p100,2013,0.1015,0.20550001,0.21080001,0.1381,0.19589999,0.2159,0.27649999
p99p100,2014,0.1003,0.2051,0.20389999,0.1366,0.20200001,0.21340001,0.27520001
p99p100,2015,0.1038,0.20559999,0.2024,0.1392,,0.21340001,0.28349999
p99p100,2016,0.1036,0.2044,,,,,
p99p100,2017,0.104,,,,,,
p0p50,1980,0.2447,0.0792,0.31,0.26730001,0.1989,0.233,
p0p50,1981,0.2428,0.080799997,,0.26390001,0.19509999,0.2348,
p0p50,1982,0.2431,0.083999999,,0.2581,0.18960001,0.2362,
p0p50,1983,0.2429,0.083099999,,0.2606,0.1831,0.2177,
p0p50,1984,0.2429,0.087399997,,0.25760001,0.1788,0.22400001,
p0p50,1985,0.24089999,0.091700003,0.30880001,0.25409999,0.1788,0.2192,
p0p50,1986,0.2411,0.091399997,,0.2386,0.17659999,0.2181,
p0p50,1987,0.23989999,0.092500001,,0.2332,0.1726,0.2201,
p0p50,1988,0.2383,0.092200004,0.3096,0.2306,0.16949999,0.21690001,
p0p50,1989,0.23459999,0.089900002,0.30129999,0.22390001,0.1693,0.21709999,
p0p50,1990,0.22750001,0.087800004,0.2947,0.22579999,0.168,0.2238,
p0p50,1991,0.219,0.089500003,0.28999999,0.21259999,0.1662,0.2221,
p0p50,1992,0.21250001,0.090099998,0.21870001,0.2031,0.1583,0.2191,
p0p50,1993,0.2098,0.089299999,0.20110001,0.1936,0.15899999,0.2138,
p0p50,1994,0.20900001,0.0889,0.1529,0.18960001,0.1578,0.2089,
p0p50,1995,0.2084,0.088200003,0.1383,0.19320001,0.1538,0.2094,
p0p50,1996,0.2088,0.088699996,0.096000001,0.1992,0.1508,0.2112,
p0p50,1997,0.2084,0.089100003,0.1243,0.199,0.1486,0.2089,
p0p50,1998,0.2075,0.089500003,0.14399999,0.1996,0.14910001,0.2076,
p0p50,1999,0.2053,0.089199997,0.14040001,0.1926,0.1477,0.207,
p0p50,2000,0.2058,0.086900003,0.1356,0.1807,0.1461,0.206,
p0p50,2001,0.2067,0.087300003,0.1346,0.17479999,0.1495,0.2017,0.12630001
p0p50,2002,0.2085,0.086900003,0.1384,0.1621,0.14820001,0.1973,0.1228
p0p50,2003,0.2096,0.086999997,0.1349,0.1578,0.1452,0.1929,0.12530001
p0p50,2004,0.2088,0.088200003,0.14,0.15800001,0.1419,0.1884,0.1288
p0p50,2005,0.2076,0.088100001,0.1443,0.1503,0.1384,0.1839,0.1303
p0p50,2006,0.2077,0.089400001,0.1398,0.15009999,0.1354,0.1793,0.1303
p0p50,2007,0.2084,0.091399997,0.1371,0.1485,0.1374,0.17460001,0.1319
p0p50,2008,0.21250001,0.092399999,0.1345,0.1481,0.1371,0.1699,0.1318
p0p50,2009,0.2146,0.095299996,0.1451,0.1471,0.13590001,0.16500001,0.1356
p0p50,2010,0.2137,0.094800003,0.1586,0.1427,0.1303,0.1601,0.13850001
p0p50,2011,0.212,0.094300002,0.15979999,0.1454,0.12729999,0.15350001,0.13600001
p0p50,2012,0.21340001,0.094999999,0.1662,0.15000001,0.1238,0.1506,0.1399
p0p50,2013,0.2114,0.095299996,0.1612,0.145,0.1277,0.1498,0.14129999
p0p50,2014,0.2111,0.096299998,0.1681,0.1486,0.12549999,0.1469,0.1429
p0p50,2015,0.2112,0.096600004,0.1699,0.14830001,,0.1469,0.1388
p0p50,2016,0.2132,0.096699998,,,,,
p0p50,2017,0.2138,,,,,,
p90p100,1980,0.28459999,0.48980001,0.2102,0.27239999,0.34240001,0.315,
p90p100,1981,0.28299999,0.48879999,,0.27680001,0.34720001,0.3071,
p90p100,1982,0.28189999,0.4815,,0.2809,0.34900001,0.30050001,
p90p100,1983,0.2823,0.48930001,,0.28189999,0.35420001,0.35280001,
p90p100,1984,0.2845,0.49160001,,0.28670001,0.36660001,0.33379999,
p90p100,1985,0.28709999,0.4971,0.2237,0.29519999,0.36660001,0.3479,
p90p100,1986,0.2899,0.50080001,,0.2987,0.36469999,0.35069999,
p90p100,1987,0.2942,0.5043,,0.2974,0.3761,0.34470001,
p90p100,1988,0.29910001,0.50779998,0.2238,0.301,0.38949999,0.3538,
p90p100,1989,0.30239999,0.5108,0.23720001,0.30669999,0.3867,0.35409999,
p90p100,1990,0.30579999,0.51090002,0.2358,0.30410001,0.38710001,0.33489999,
p90p100,1991,0.3109,0.51050001,0.2463,0.31110001,0.3856,0.34099999,
p90p100,1992,0.31240001,0.52060002,0.32370001,0.32339999,0.3978,0.3506,
p90p100,1993,0.31580001,0.5266,0.34290001,0.33539999,0.39559999,0.3671,
p90p100,1994,0.31740001,0.53329998,0.40580001,0.33970001,0.39860001,0.38240001,
p90p100,1995,0.31810001,0.53759998,0.42449999,0.3355,0.4066,0.38299999,
p90p100,1996,0.3213,0.53939998,0.48320001,0.3355,0.41549999,0.37940001,
p90p100,1997,0.32429999,0.54210001,0.4517,0.33579999,0.42269999,0.3874,
p90p100,1998,0.32749999,0.54799998,0.43239999,0.3391,0.42629999,0.3924,
p90p100,1999,0.3301,0.55059999,0.45950001,0.34470001,0.43349999,0.39489999,
p90p100,2000,0.33039999,0.55320001,0.48190001,0.3556,0.43880001,0.3987,
p90p100,2001,0.33050001,0.55260003,0.49529999,0.36320001,0.428,0.4095,0.54290003
p90p100,2002,0.3285,0.55290002,0.47940001,0.39379999,0.42730001,0.4206,0.55669999
p90p100,2003,0.3285,0.55440003,0.48179999,0.4021,0.4287,0.43180001,0.5528
p90p100,2004,0.33140001,0.55449998,0.4824,0.40900001,0.43900001,0.44319999,0.5478
p90p100,2005,0.336,0.55360001,0.47400001,0.41859999,0.4506,0.45480001,0.551
p90p100,2006,0.33669999,0.55299997,0.49239999,0.42070001,0.4603,0.46759999,0.55470002
p90p100,2007,0.34220001,0.54640001,0.4901,0.42390001,0.458,0.48069999,0.54939997
p90p100,2008,0.3364,0.5449,0.52139997,0.42390001,0.4531,0.4941,0.56199998
p90p100,2009,0.33239999,0.53509998,0.49649999,0.42340001,0.4434,0.50779998,0.54970002
p90p100,2010,0.3303,0.53329998,0.4684,0.42609999,0.45750001,0.52170002,0.5521
p90p100,2011,0.33419999,0.53530002,0.48069999,0.42879999,0.45919999,0.54140002,0.56529999
p90p100,2012,0.3335,0.52869999,0.4553,0.4147,0.47139999,0.55000001,0.55419999
p90p100,2013,0.33849999,0.52670002,0.4727,0.42120001,0.4632,0.55229998,0.54890001
p90p100,2014,0.33700001,0.52240002,0.4567,0.41319999,0.4702,0.56099999,0.54610002
p90p100,2015,0.33939999,0.52219999,0.45519999,0.41429999,,0.56099999,0.55559999
p90p100,2016,0.33759999,0.5212,,,,,
p90p100,2017,0.3378,,,,,,
