Percentile,Year,Europe,World,Russia,China,USA,India,Brazil
p99p100,1980,0.071000002,0.16159999,0.034499999,0.064199999,0.1067,0.073399998,
p99p100,1981,0.070600003,0.1621,,0.067100003,0.1105,0.067000002,
p99p100,1982,0.069700003,0.15629999,,0.069399998,0.1126,0.061099999,
p99p100,1983,0.069399998,0.1576,,0.071099997,0.1151,0.1031,
p99p100,1984,0.070699997,0.1618,,0.074500002,0.125,0.0889,
p99p100,1985,0.072499998,0.1696,0.0438,0.079999998,0.12549999,0.1045,
p99p100,1986,0.074600004,0.1718,,0.079700001,0.1221,0.1081,
p99p100,1987,0.077500001,0.1762,,0.078699999,0.1331,0.1032,
p99p100,1988,0.080399998,0.1807,0.048099998,0.079999998,0.1488,0.1111,
p99p100,1989,0.082599998,0.1804,0.054000001,0.082099997,0.1446,0.1102,
p99p100,1990,0.0823,0.1813,0.073399998,0.081,0.1454,0.1046,
p99p100,1991,0.083999999,0.1798,0.083899997,0.0832,0.1389,0.1016,
p99p100,1992,0.082900003,0.18340001,0.1011,0.087499999,0.15009999,0.1001,
p99p100,1993,0.083999999,0.18619999,0.1114,0.092,0.1464,0.1247,
p99p100,1994,0.085600004,0.1877,0.1183,0.094400004,0.1469,0.1236,
p99p100,1995,0.086400002,0.19159999,0.14030001,0.092900001,0.15279999,0.1301,
p99p100,1996,0.090400003,0.1963,0.1584,0.0955,0.15970001,0.1321,
p99p100,1997,0.093099996,0.2,0.152,0.0955,0.1663,0.1383,
p99p100,1998,0.095200002,0.20389999,0.1514,0.098399997,0.1692,0.1436,
p99p100,1999,0.094999999,0.2057,0.18099999,0.099299997,0.1771,0.147,
p99p100,2000,0.096000001,0.20900001,0.2069,0.1037,0.18269999,0.1512,
p99p100,2001,0.096100003,0.20730001,0.2456,0.1087,0.1727,0.15889999,0.26210001
p99p100,2002,0.094499998,0.2076,0.2449,0.12549999,0.1706,0.16680001,0.27419999
p99p100,2003,0.094999999,0.2102,0.2428,0.1313,0.17200001,0.1751,0.27200001
p99p100,2004,0.098300003,0.2132,0.22759999,0.1382,0.1832,0.1837,0.27320001
p99p100,2005,0.1028,0.2175,0.2491,0.142,0.1937,0.1926,0.27900001
p99p100,2006,0.1034,0.2212,0.25420001,0.1477,0.20100001,0.19660001,0.2823
p99p100,2007,0.1069,0.2208,0.26910001,0.15270001,0.1987,0.2005,0.28290001
p99p100,2008,0.1043,0.2176,0.25080001,0.15180001,0.1952,0.2045,0.2929
