Date,Average Price,Total Volume
2015-12-27,1.05,692206.4
2015-12-20,1.15,637091.48
2015-12-13,1.22,616016.46
2015-12-06,1.06,694982.49
2015-11-29,1.05,651638.6
2015-11-22,1.04,709444.22
2015-11-15,0.99,775848.72
2015-11-08,1.4,599884.32
2015-11-01,0.97,869927.27
2015-10-25,1.55,561342.23
2015-10-18,1.52,586073.85
2015-10-11,1.58,564456.6
2015-10-04,1.04,762866.62
2015-09-27,1.38,651697.34
2015-09-20,1.56,578500.76
2015-09-13,1.53,603840.95
2015-09-06,1.54,646810.2
2015-08-30,1.53,649891.92
2015-08-23,1.59,610212.92
2015-08-16,1.59,618237.58
2015-08-09,1.56,603876.9
2015-08-02,1.57,645158.33
2015-07-26,1.58,628331.04
2015-07-19,1.56,633327.17
2015-07-12,1.39,680351.84
2015-07-05,1.53,752191.79
2015-06-28,1.54,646324.68
2015-06-21,1.52,673720.54
2015-06-14,1.51,696873.03
2015-06-07,1.31,758817.08
2015-05-31,1.29,764114.39
2015-05-24,1.37,700411.03
2015-05-17,1.32,701099.41
2015-05-10,1.3,742672.03
2015-05-03,1.0,1310364.67
2015-04-26,1.39,680839.21
2015-04-19,1.23,818816.7
2015-04-12,1.33,729890.28
2015-04-05,1.33,742539.71
2015-03-29,1.3,742583.03
2015-03-22,1.19,841723.81
2015-03-15,1.26,779754.03
2015-03-08,1.16,830775.42
2015-03-01,0.95,1039265.17
2015-02-22,1.23,776336.17
2015-02-15,1.23,696515.27
2015-02-08,0.92,928836.58
2015-02-01,0.91,1352027.64
2015-01-25,1.21,713523.24
2015-01-18,1.22,753746.51
2015-01-11,1.03,916450.76
2015-01-04,0.99,907795.89
2016-12-25,1.18,690027.33
2016-12-18,1.22,643518.28
2016-12-11,1.29,655428.34
2016-12-04,1.52,542857.36
2016-11-27,1.75,488378.1
2016-11-20,1.89,510752.32
2016-11-13,1.94,506543.8
2016-11-06,2.07,492504.81
2016-10-30,2.2,477937.8
2016-10-23,1.87,411873.66
2016-10-16,1.99,590535.06
2016-10-09,1.82,673082.26
2016-10-02,1.52,731993.57
2016-09-25,1.43,860546.65
2016-09-18,1.5,813575.88
2016-09-11,1.43,862732.45
2016-09-04,1.47,850104.12
2016-08-28,1.38,812410.86
2016-08-21,1.28,825338.15
2016-08-14,1.03,1114834.28
2016-08-07,1.49,753570.45
2016-07-31,1.52,814505.22
2016-07-24,1.54,817357.28
2016-07-17,1.46,804071.94
2016-07-10,1.4,842731.76
2016-07-03,1.41,891917.15
2016-06-26,1.5,749554.87
2016-06-19,1.44,800921.02
2016-06-12,1.45,770382.05
2016-06-05,1.35,899154.46
2016-05-29,1.34,891069.03
2016-05-22,1.31,817923.28
2016-05-15,1.37,772064.79
2016-05-08,1.06,961334.65
2016-05-01,0.99,1001227.21
2016-04-24,1.0,1017425.89
2016-04-17,1.39,786422.89
2016-04-10,1.38,765652.36
2016-04-03,1.12,849739.84
2016-03-27,1.47,716020.43
2016-03-20,1.4,739577.85
2016-03-13,1.41,714002.3
2016-03-06,1.29,817240.38
2016-02-28,1.29,824092.61
2016-02-21,1.15,799826.02
2016-02-14,1.34,696959.32
2016-02-07,0.89,1355047.15
2016-01-31,1.27,805039.06
2016-01-24,1.05,844417.47
2016-01-17,1.24,732860.83
2016-01-10,1.21,765839.95
2016-01-03,0.93,918798.74
2017-12-31,0.92,1174818.67
2017-12-24,1.15,860922.52
2017-12-17,1.4,674625.07
2017-12-10,1.05,992871.42
2017-12-03,1.28,798853.0
2017-11-26,1.52,630939.0
2017-11-19,1.48,657693.0
2017-11-12,1.27,875104.0
2017-11-05,1.41,787625.8
2017-10-29,1.56,716567.05
2017-10-22,1.57,768374.15
2017-10-15,1.76,671239.19
2017-10-08,1.65,780710.38
2017-10-01,1.79,660452.07
2017-09-24,1.76,653751.09
2017-09-17,1.81,648318.59
2017-09-10,1.71,688636.33
2017-09-03,1.78,667860.21
2017-08-27,2.09,600153.2
2017-08-20,2.07,561541.93
2017-08-13,1.29,821395.74
2017-08-06,1.62,723557.56
2017-07-30,1.3,897443.52
2017-07-23,1.66,675183.5
2017-07-16,1.74,732328.94
2017-07-09,1.69,715078.15
2017-07-02,1.7,700809.09
2017-06-25,1.53,874937.71
2017-06-18,1.77,660386.27
2017-06-11,1.8,608604.75
2017-06-04,1.83,650426.37
2017-05-28,1.78,664075.57
2017-05-21,1.86,652301.59
2017-05-14,1.77,652375.87
2017-05-07,1.42,956829.89
2017-04-30,1.93,612104.34
2017-04-23,1.83,613563.9
2017-04-16,1.69,670281.46
2017-04-09,1.22,961954.91
2017-04-02,1.79,632537.9
2017-03-26,1.79,617981.91
2017-03-19,1.79,639050.82
2017-03-12,1.8,620908.22
2017-03-05,1.59,672242.8
2017-02-26,1.18,891688.67
2017-02-19,1.17,863688.61
2017-02-12,1.14,765983.21
2017-02-05,0.84,1557975.05
2017-01-29,1.13,909650.62
2017-01-22,0.94,1089513.11
2017-01-15,1.23,848267.19
2017-01-08,1.22,953770.46
2017-01-01,0.95,1047175.33
2018-03-25,1.01,1203274.11
2018-03-18,1.38,777300.99
2018-03-11,1.29,904333.98
2018-03-04,1.16,1051308.5
2018-02-25,1.17,984000.13
2018-02-18,1.06,1149074.92
2018-02-11,1.32,823086.86
2018-02-04,0.84,1706251.05
2018-01-28,1.38,821352.05
2018-01-21,1.01,1301932.95
2018-01-14,1.21,1117376.99
2018-01-07,1.46,818086.25
