year,month,trad,rapide,café
2015,4,96.5,101.4,95.4
2015,3,94.2,99.9,93.5
2015,2,96.1,103.3,95.6
2015,1,96.1,101.7,93.3
2014,12,96.2,101,98.9
2014,11,96.5,101.4,93.4
2014,10,97.6,102.9,94.9
2014,9,96.7,101.1,95.4
2014,8,97.9,103.4,95.5
2014,7,96.1,103.1,93.8
2014,6,94.9,103.9,98.2
2014,5,97.2,103.4,95
2014,4,95.6,103.7,94.8
2014,3,97.3,106.9,95.9
2014,2,97,102.7,95.5
2014,1,97.9,105,97.1
2013,12,98.4,105,97.5
2013,11,99,105.4,102.5
2013,10,99,103.8,97.3
2013,9,98.1,105.4,99
2013,8,98.6,104.9,99.9
2013,7,98.5,100.8,95.5
2013,6,100.5,103.6,97.2
2013,5,99.5,103.7,101.4
2013,4,96,103.5,96.7
2013,3,102.9,104.1,101.8
2013,2,97.8,103,98.7
2013,1,97.7,101.9,100.6
2012,12,98.8,103.3,101.6
2012,11,102.3,104.2,101.6
2012,10,98.2,102.1,102.7
2012,9,101,103.7,101
2012,8,99.5,104.1,95.5
2012,7,101.7,104,101.7
2012,6,101,104.4,101.1
2012,5,99.6,104,99.8
2012,4,98.5,103.8,103.2
2012,3,106.1,107.4,102.7
2012,2,98.7,103.2,101.5
2012,1,102.5,105.3,102.4
2011,12,102.9,106.8,100
2011,11,102,103.2,98.2
2011,10,103.1,104.1,99.7
2011,9,103.2,104.3,98.9
2011,8,103.7,103.2,97.3
2011,7,102.8,102.9,100.9
2011,6,104.2,104.2,104
2011,5,102.1,103.3,99.8
2011,4,103.8,102.2,100.2
2011,3,104.1,102.4,99.9
2011,2,103.1,102.6,99.2
2011,1,103.6,102.1,100.7
2010,12,97.9,100.2,97.9
2010,11,99.8,101.5,101
2010,10,100.2,102.1,98.9
2010,9,101.8,101.7,100
2010,8,100.3,101.4,100.2
2010,7,102,101.7,99.4
2010,6,98.3,98.7,100.3
2010,5,102.5,100.2,102.6
2010,4,101.2,100.4,105.6
2010,3,99.5,97.9,98.8
2010,2,98.9,97.8,99.3
2010,1,97.6,96.5,96
2009,12,98.4,98.2,98.7
2009,11,99,97.5,98.3
2009,10,99.4,97.9,98.2
2009,9,98,97.1,97
2009,8,98.1,98.6,97.5
2009,7,99.1,98.7,97.3
2009,6,91,92.4,91.2
2009,5,91.6,93.6,93.7
2009,4,91.6,93.8,98.2
2009,3,92,93.3,92.9
2009,2,91.4,92.1,98.9
2009,1,91.6,94,99.1
2008,12,92.6,89.4,98.5
2008,11,93.6,95.2,98.6
2008,10,93.6,92.6,98.7
2008,9,92,89.6,98.2
2008,8,88.1,89.5,97.2
2008,7,94.7,92.3,103.1
2008,6,94.7,91.4,98.5
2008,5,95.5,92.3,101.7
2008,4,94.9,91.2,99.3
2008,3,96.7,92.3,100
2008,2,98.5,92.1,101.6
2008,1,97.1,90.8,101.2
2007,12,97.4,89.2,101.8
2007,11,96.5,89,102.3
2007,10,96.8,88.9,102.1
2007,9,96.8,88,102.5
2007,8,89.5,86.3,98
2007,7,95.5,87.4,101.7
2007,6,95.6,89.2,102.2
2007,5,92.5,87.4,97.9
2007,4,95.7,86.3,100.2
2007,3,97.8,86.9,102.8
2007,2,94.8,84.8,99.4
2007,1,95.1,85.8,100
2006,12,95.2,83.5,100.6
2006,11,94.2,85.2,98.8
2006,10,95.4,82.7,100.8
2006,9,95.2,83.9,102.2
2006,8,92.2,82.4,98.9
2006,7,91.8,81.6,97.6
2006,6,89.6,79.8,95.5
2006,5,91.5,81.3,97.1
2006,4,91.2,81.3,96.4
2006,3,90.6,79.9,95.5
2006,2,90.7,80.1,96.2
2006,1,91.9,76.6,97
2005,12,91.1,81.7,96.7
2005,11,91.3,77.8,95.9
2005,10,88.4,78.4,94.1
2005,9,89.8,79.5,95.7
2005,8,90.3,78.6,95.6
2005,7,91.2,80.7,98
2005,6,89.6,78.6,94.9
2005,5,89,76.4,94.6
2005,4,87.8,77.3,94
2005,3,88,74.8,93
2005,2,87.3,75,93.4
2005,1,88.3,75,93.3
2004,12,90.3,79.1,95.2
2004,11,90.7,78.1,96.1
2004,10,88.1,76,94.4
2004,9,89,75,94.3
2004,8,90.6,76.1,95.4
2004,7,88.6,73.5,94.9
2004,6,88.9,75,94.7
2004,5,88.6,73.7,93
2004,4,88.4,72.7,93.9
2004,3,86.5,71.3,92
2004,2,87.2,72.3,92.5
2004,1,85.7,71.3,92.5
2003,12,86.4,71.7,91.9
2003,11,86.9,71.6,91.8
2003,10,87.5,72.7,93.4
2003,9,92.3,72.3,98.1
2003,8,89.3,71.7,94.3
2003,7,88.2,72.6,93.1
2003,6,87.4,71.2,92.6
2003,5,87.3,72.3,93.9
2003,4,86.8,70.4,91.8
2003,3,87.1,70.5,92.6
2003,2,86.2,70.1,92
2003,1,86.5,68.4,92.6
2002,12,86.4,73.6,92
2002,11,87,68.6,93.1
2002,10,89.2,69.1,94.5
2002,9,88.3,67.1,93.4
2002,8,90.7,68.6,96.8
2002,7,90.4,68.2,95.4
2002,6,87.5,67.9,93.4
2002,5,87.7,67.3,93.5
2002,4,84.9,67.5,89.7
2002,3,88.2,66.6,93.8
2002,2,88.2,66.6,93.8
2002,1,87.1,67.6,92.3
2001,12,86.4,64.5,92.5
2001,11,85.8,63.7,92.1
2001,10,84.4,63.2,90
2001,9,84.3,64.9,89.5
2001,8,86.3,63.8,91.4
2001,7,86.4,63.3,90.4
2001,6,86.6,62.8,92.6
2001,5,84.6,62.6,89.7
2001,4,83.2,65.7,87.5
2001,3,84.8,63.3,90.1
2001,2,84.1,62.4,89.2
2001,1,83.7,63.5,88.4
2000,12,80.1,57.5,86.5
2000,11,81,58.1,85.1
2000,10,81,60.7,86.3
2000,9,82.3,62.9,87.7
2000,8,82.3,60.2,86.6
2000,7,80.6,59.5,84.6
2000,6,81,59.9,85.8
2000,5,79.3,60.1,84.2
2000,4,77.9,60.6,82.6
2000,3,79.2,60.4,83.9
2000,2,78.4,59.5,82.7
2000,1,78.4,58.5,82.6
1999,12,77,55.6,81.8
1999,11,78.8,57.1,83.3
1999,10,74.9,55.1,80.6
1999,9,78.8,58.6,83
1999,8,77.5,54.6,81.8
1999,7,76.7,54.7,81.9
1999,6,77.4,55.3,82
1999,5,78.1,54.8,81.3
1999,4,77,54,81.4
1999,3,76.1,54.3,80.4
1999,2,76.4,51.8,81
1999,1,75.8,53.9,80.1
1998,12,76.5,54.6,80.4
1998,11,76.4,53.5,80.6
1998,10,75.4,54.2,80.8
1998,9,74,54,78.3
1998,8,74.7,54.3,78.9
1998,7,75.8,53.9,80.3
1998,6,73.4,53.4,77.8
1998,5,77.7,52.4,81.1
1998,4,79,52.4,82.8
1998,3,73.4,52.1,77.1
1998,2,72.7,52,76.8
1998,1,72.6,51.7,77.1
1997,12,73.3,50.3,77.5
1997,11,72,51,76.1
1997,10,72.5,51.7,77.2
1997,9,72.1,51,76.7
1997,8,65,51.2,69.3
1997,7,71.8,50.8,76.1
1997,6,71.6,52,75.8
1997,5,72.8,51.6,77.3
1997,4,74.8,51.2,78.2
1997,3,75.7,51.5,79.5
1997,2,71.7,51.4,75.7
1997,1,71.5,46.9,75.4
1996,12,69.6,52.1,73.6
1996,11,69.9,51,75.1
1996,10,70,50.9,74.4
1996,9,70.7,50.7,75
1996,8,65.3,50.7,70.6
1996,7,69.6,51.9,74.5
1996,6,72.2,49.9,76.4
1996,5,70.9,51.2,74.8
1996,4,72.8,50.4,75.8
1996,3,73.1,53.3,76.9
1996,2,73.5,49.4,77
1996,1,72.7,52.1,76.3
1995,12,71.4,54.4,76.8
1995,11,70.5,53.7,74.9
1995,10,71.6,52.2,76.3
1995,9,71.1,52.6,76.6
1995,8,70.6,52.4,75.7
1995,7,72.2,52.1,77.2
1995,6,75.1,60.2,79
1995,5,75,56.8,78.9
1995,4,76.1,55.7,79.6
1995,3,75.4,53.9,78.8
1995,2,79,53.7,83.5
1995,1,75.4,53.3,79.3
