year,month,trad,rapide,café
2015,4,88.8,94.2,87.4
2015,3,86.8,92.9,85.8
2015,2,88.6,96.1,87.8
2015,1,88.6,94.7,85.8
2014,12,88.9,94.2,91.1
2014,11,89.3,94.7,86.1
2014,10,90.3,96.1,87.4
2014,9,89.5,94.5,88
2014,8,90.7,96.7,88.2
2014,7,89.1,96.5,86.6
2014,6,88.1,97.3,90.8
2014,5,90.3,97.1,88
2014,4,89,97.5,87.9
2014,3,90.8,100.7,89.1
2014,2,90.7,96.9,89
2014,1,91.6,99.2,90.6
2013,12,91.6,98.1,90.9
2013,11,92.4,98.7,95.8
2013,10,92.5,97.5,91.1
2013,9,91.9,99.2,92.9
2013,8,92.5,98.8,93.9
2013,7,92.6,95.2,89.9
2013,6,94.7,98,91.8
2013,5,93.8,98.2,95.8
2013,4,90.7,98.3,91.5
2013,3,97.4,99,96.6
2013,2,92.7,98,93.7
2013,1,92.7,97.1,95.6
2012,12,94,98.8,96.9
2012,11,97.5,99.7,97
2012,10,93.7,97.9,98.2
2012,9,96.5,99.6,96.7
2012,8,95.2,100,91.5
2012,7,97.4,100.1,97.7
2012,6,97,100.7,97.3
2012,5,95.8,100.5,96.1
2012,4,95,100.6,99.7
2012,3,102.5,104.3,99.5
2012,2,95.6,100.4,98.4
2012,1,99.6,102.7,99.6
2011,12,100.3,104.1,97.5
2011,11,99.6,100.8,95.9
2011,10,100.9,101.8,97.6
2011,9,101.1,102.2,96.9
2011,8,101.7,101.2,95.4
2011,7,101,101.1,99.1
2011,6,102.6,102.6,102.4
2011,5,100.7,101.9,98.5
2011,4,102.7,101,99.1
2011,3,103.1,101.5,99
2011,2,102.2,101.7,98.4
2011,1,102.9,101.4,100
2010,12,97.4,99.7,97.4
2010,11,99.4,101,100.5
2010,10,99.9,101.8,98.6
2010,9,101.5,101.5,99.7
2010,8,100.1,101.2,100
2010,7,101.9,101.7,99.3
2010,6,98.4,98.7,100.3
2010,5,102.6,100.4,102.8
2010,4,101.5,100.7,105.9
2010,3,99.8,98.2,99.2
