male,AFQT,real_earnings_1999,weeks_worked_1999,log_earn_1999,college,mother_college,father_college
1,99.39299799999999,52354.383,52.0,10.865790937722313,1,0,0
1,47.411999,32721.487999999998,52.0,10.395787266455262,0,0,0
0,44.021999,35862.75,52.0,10.487454431335381,0,0,0
1,59.682999,68060.695,52.0,11.128155159580778,0,0,0
1,72.313004,78531.57,52.0,11.271255988528683,1,0,1
0,98.797997,62825.258,52.0,11.048112469048805,1,0,0
0,50.283001,49736.664000000004,52.0,10.814497646350647,0,0,0
1,89.668999,62825.258,52.0,11.048112469048805,0,0,0
1,95.976997,259311.25,52.0,12.465784356624946,0,0,1
0,67.021004,68060.695,52.0,11.128155159580778,1,0,1
0,88.416,107326.48,52.0,11.5836306828882,1,0,1
0,89.167,47118.945,52.0,10.760430428431354,1,0,0
0,51.389998999999996,26177.191000000003,52.0,10.17264373806177,0,0,1
0,96.67400400000001,17180.09,44.0,9.751506434174118,1,0,1
0,92.783997,31412.629,52.0,10.35496528848886,0,0,1
0,25.905001000000002,65442.977,52.0,11.088934462295686,0,0,0
1,6.0689998,45810.085999999996,29.0,10.732259564198388,0,0,0
0,56.290001000000004,17015.174,52.0,9.741860813153655,0,0,0
0,12.788,57589.82,52.0,10.961101094953204,0,0,0
1,26.851,74604.992,52.0,11.219962700843098,0,0,0
1,57.095001,150518.84,52.0,11.921843538060617,0,0,0
1,22.326,65442.977,52.0,11.088934462295686,0,0,0
0,15.325,7853.1572,48.0,8.968670921002103,0,0,0
0,78.095001,39265.785,52.0,10.578108807968738,1,0,0
1,75.473,85075.867,47.0,11.351298690325113,0,0,1
0,71.225998,43664.863,52.0,10.684299007318579,0,0,0
0,78.741997,35339.207,52.0,10.472748306459504,0,0,0
1,43.640999,1570.6315,9.0,7.359233046769198,0,0,0
0,30.83,3272.1489,19.0,8.093202204022173,0,0,0
0,91.625,56280.960999999996,52.0,10.938111586420142,1,0,1
1,98.841003,40574.645,52.0,10.610898643114696,0,0,1
1,82.980003,65442.977,52.0,11.088934462295686,0,0,1
0,99.150002,52354.383,52.0,10.865790937722313,0,0,1
0,36.383998999999996,44501.223,52.0,10.703271950922744,0,0,1
1,87.933998,150518.84,52.0,11.921843538060617,1,0,0
0,80.538002,47118.945,52.0,10.760430428431354,1,0,1
0,83.378998,39265.785,52.0,10.578108807968738,1,0,1
1,42.779999,39265.785,52.0,10.578108807968738,0,1,1
0,96.834999,73296.133,52.0,11.202263130685017,1,1,1
