state,age,wagesal,imm,hispanic,black,asian,educ,wage,logwage,female,fedwkr,statewkr,localwkr
11,44,18000,0,0,0,0,14,9.109311741,2.209297159,1,1,0,0
11,39,18000,0,0,0,0,14,18,2.890371758,0,0,0,0
11,39,35600,0,0,0,0,12,17.11538462,2.839977744,0,0,0,1
11,39,8000,0,0,0,0,14,5.128205128,1.63475572,1,0,0,0
11,39,100000,0,0,0,0,16,38.46153846,3.649658741,0,1,0,0
11,43,25000,0,0,0,0,12,10,2.302585093,0,0,0,0
11,38,25000,0,0,0,0,16,27.17391304,3.302257434,1,0,0,0
11,39,26000,0,0,0,0,13,16.66666667,2.813410717,1,0,0,0
11,39,52000,0,0,0,0,16,16.66666667,2.813410717,0,0,0,0
11,37,4500,0,0,0,0,13,4,1.386294361,1,0,0,0
11,42,26000,0,0,0,0,14,16.66666667,2.813410717,1,0,0,0
11,37,34000,0,0,0,0,12,16.34615385,2.793992631,0,0,1,0
11,42,65000,0,0,0,0,13,31.25,3.442019376,1,0,0,0
11,41,14300,0,0,0,0,12,17.875,2.883403089,1,0,0,0
11,35,15000,0,0,0,0,14,7.796257796,2.053643849,0,0,0,0
11,39,65000,0,0,0,0,16,25,3.218875825,1,0,0,0
11,38,40000,0,0,0,0,14,19.23076923,2.95651156,1,1,0,0
11,37,53000,0,0,0,0,13,22.64957265,3.120140984,0,0,0,0
11,35,1098,0,0,0,0,13,5.49,1.702928256,1,0,0,0
11,44,36000,0,0,0,0,16,12.58741259,2.532697314,1,0,1,0
11,40,40000,0,0,0,0,16,19.23076923,2.95651156,1,0,0,0
11,44,40000,0,0,0,0,12,19.23076923,2.95651156,0,0,1,0
11,35,33500,0,0,0,0,13,16.10576923,2.779177545,1,0,0,0
11,39,34000,0,0,0,0,12,16.34615385,2.793992631,0,0,0,0
11,35,22000,0,0,0,0,16,11.13360324,2.409967854,0,0,0,0
11,39,18000,0,0,0,0,13,10.81730769,2.381147415,1,0,0,0
11,40,4500,0,0,0,0,12,4,1.386294361,0,0,0,0
11,44,18200,0,0,0,0,13,8.75,2.1690537,1,0,0,0
11,36,33000,0,0,0,0,16,15.86538462,2.764139668,1,0,0,1
11,37,12000,0,0,0,0,14,9.615384615,2.26336438,1,0,0,0
11,40,40000,0,0,0,0,14,19.23076923,2.95651156,0,0,0,0
11,40,2500,0,0,0,0,13,4.807692308,1.570217199,1,0,0,1
11,42,29000,0,0,0,0,14,17.42788462,2.858071488,1,0,0,0
11,43,21000,0,0,0,0,14,10.91476091,2.390116085,0,0,0,0
11,35,100000,0,0,0,0,16,48.07692308,3.872802292,0,0,0,0
11,38,47000,0,0,0,0,14,15.06410256,2.7123146,1,0,0,0
11,38,4500,0,0,0,0,18,7.8125,2.055725015,1,0,0,0
11,38,24000,0,0,0,0,12,15.38461538,2.733368009,1,0,0,0
11,43,30000,0,0,0,0,12,14.42307692,2.668829488,0,0,0,0
11,42,36000,0,0,0,0,12,26.66666667,3.283414346,0,0,0,0
11,39,46000,0,0,0,0,12,20.1048951,3.000963323,1,0,0,0
11,40,22000,0,0,0,0,16,17.46031746,2.859930732,1,0,1,0
11,39,32000,0,0,0,0,8,20,2.995732274,0,0,0,0
11,37,40000,0,0,0,0,18,38.46153846,3.649658741,1,0,0,0
